,price,area,bath,room,parking,year,property_type,near_cc,near_school,near_parks,near_avenue,security,elevator,rest_area,pool,ranking
0,120375,45,2,3,1,2023,1,1,0,1,0,0,0,1,0,5.0
1,119277,45,2,3,1,2023,1,1,0,1,0,0,0,1,0,5.0
2,162297,60,2,2,1,2023,1,1,0,1,0,0,0,1,0,5.0
3,157815,60,2,2,1,2023,1,1,0,1,0,0,0,1,0,5.0
4,239998,110,3,3,0,2023,1,1,0,0,0,0,0,0,0,3.13
5,78513,55,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
6,81071,40,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.27
7,238559,92,3,3,1,2023,1,1,0,1,0,0,0,1,0,5.0
8,237800,109,3,3,0,2023,1,1,0,0,0,0,0,0,0,3.13
9,74378,55,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
10,181150,82,2,2,0,2023,1,1,0,0,0,0,0,0,0,4.27
11,76810,45,2,3,1,2023,1,1,1,1,0,0,1,0,0,4.59
12,231824,107,3,3,0,2023,1,1,0,0,0,0,0,0,0,3.13
13,93189,64,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
14,223399,101,3,3,0,2023,1,1,0,0,0,0,0,0,0,4.27
15,147110,84,2,3,1,2023,1,1,1,1,0,0,1,0,0,4.59
16,229340,105,3,3,0,2023,1,1,0,0,0,0,0,0,0,3.13
17,219256,120,3,3,1,2023,1,0,0,1,0,0,0,0,0,5.0
18,96054,66,2,3,1,2023,1,0,1,0,0,0,1,1,0,2.71
19,121416,58,2,3,0,2023,1,1,0,0,0,0,0,0,0,4.27
20,138690,80,2,3,1,2023,1,1,1,1,0,0,1,0,0,4.59
21,173513,74,2,3,0,2023,1,1,0,0,0,0,0,0,0,3.13
22,74621,55,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
23,206066,96,2,2,0,2023,1,1,0,0,0,0,0,0,0,4.27
24,120410,68,2,2,1,2023,1,1,1,1,0,0,1,0,0,4.59
25,90216,64,2,3,1,2023,1,0,1,0,0,0,1,1,0,2.71
26,85000,37,1,2,0,2008,1,1,1,0,0,0,0,0,0,4.76
27,146407,61,2,2,0,2023,1,1,0,0,0,0,0,0,0,4.27
28,138590,79,2,3,1,2023,1,1,1,1,0,0,1,0,0,4.59
29,87000,95,2,3,1,1980,1,1,0,0,0,0,0,0,0,4.66
30,235000,139,3,3,0,2023,1,0,0,0,0,0,1,0,0,4.59
31,210000,131,3,4,1,2018,1,1,0,0,0,1,0,0,0,4.59
32,91891,64,2,3,1,2023,1,0,1,0,0,0,1,1,0,2.71
33,203064,80,2,3,0,2023,1,1,0,0,0,0,0,0,0,4.27
34,142640,80,2,3,1,2023,1,1,1,1,0,0,1,0,0,4.59
35,218000,111,2,3,0,2023,1,0,0,0,0,0,1,0,0,4.59
36,171218,70,2,2,0,2023,1,1,0,0,0,0,0,0,0,4.27
37,90405,64,2,3,1,2023,1,0,1,0,0,0,1,1,0,2.71
38,110909,43,2,3,0,2023,1,1,0,0,0,0,0,0,0,4.27
39,86260,49,2,3,1,2023,1,1,1,1,0,0,1,0,0,4.59
40,209000,103,2,3,0,2023,1,0,0,0,0,0,1,0,0,4.59
41,88621,64,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
42,139417,58,2,2,0,2023,1,1,0,0,0,0,0,0,0,4.27
43,121300,69,2,2,1,2023,1,1,1,1,0,0,1,0,0,4.59
44,212000,106,2,3,0,2023,1,0,0,0,0,0,1,0,0,4.59
45,130189,70,2,3,1,1999,1,0,0,0,0,0,1,1,0,4.4
46,228000,118,2,3,1,2007,1,0,0,1,1,1,1,1,0,4.95
47,245000,145,2,3,0,2023,1,0,0,0,0,0,1,0,0,4.59
48,91405,66,2,3,1,2023,1,0,1,0,0,0,1,1,0,2.71
49,96356,40,2,3,0,2023,1,1,0,0,0,0,0,0,0,4.27
50,78330,47,2,3,1,2023,1,1,1,1,0,0,1,0,0,4.59
51,135195,40,2,3,0,2023,1,1,0,0,0,0,1,1,1,4.11
52,140000,54,2,3,1,2020,1,0,1,0,1,0,0,0,0,4.11
53,76000,56,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
54,223000,130,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.59
55,65000,50,2,2,0,2017,1,1,0,0,0,1,0,0,0,2.71
56,92000,85,1,2,1,2003,1,0,0,1,1,1,0,1,0,5.0
57,88459,65,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
58,162000,94,2,2,1,2003,1,1,1,1,0,1,0,0,0,4.59
59,78000,68,2,3,0,2003,1,1,1,0,0,0,1,1,0,5.0
60,90054,65,2,3,1,2023,1,0,1,0,0,0,1,1,0,2.71
61,221270,97,2,2,0,2023,1,1,0,0,0,0,0,0,0,4.27
62,88540,65,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
63,244348,81,3,3,0,2023,1,1,0,0,0,0,0,0,0,4.27
64,115000,66,2,2,1,2019,1,1,0,0,0,0,0,0,0,5.0
65,75270,55,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
66,213588,97,2,2,0,2023,1,1,0,0,0,0,0,0,0,4.27
67,169000,95,2,3,0,2007,1,0,0,0,0,0,0,0,0,5.0
68,78567,60,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
69,85918,65,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
70,159588,60,2,2,0,2023,1,0,0,1,0,0,1,1,0,5.0
71,83513,66,2,3,1,2023,1,0,1,0,0,0,1,1,0,2.71
72,94216,47,2,2,0,2023,1,0,0,0,0,0,0,0,0,4.59
73,82351,65,2,3,1,2023,1,0,1,0,0,0,1,1,0,2.71
74,245000,122,3,3,1,1997,1,0,0,0,0,0,1,0,0,5.0
75,81864,65,2,3,1,2023,1,0,1,0,0,0,1,1,0,2.71
76,77756,56,2,2,1,2023,1,0,1,0,0,0,1,1,0,2.71
77,224999,149,2,3,1,2012,1,1,1,0,0,0,0,0,0,4.59
78,135000,97,2,3,1,2016,1,1,1,0,0,0,0,0,0,4.49
79,148648,85,3,3,0,2015,1,1,1,1,0,1,1,1,1,4.66
80,156595,74,2,3,0,2023,1,1,0,1,1,0,0,0,0,5.0
81,212000,125,3,3,1,2023,1,1,0,0,1,0,0,0,0,5.0
82,162000,90,2,2,1,1993,1,0,0,0,1,0,0,0,0,5.0
83,60270,32,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.27
84,164763,65,2,2,0,2023,1,0,0,1,0,0,1,1,0,5.0
85,240000,95,2,2,1,2021,1,1,1,0,0,1,0,0,0,4.11
86,185000,93,2,2,1,2016,1,0,0,0,0,1,0,0,0,5.0
87,220000,128,2,3,1,2010,1,1,0,0,1,0,0,0,0,4.59
88,78297,65,2,3,0,2023,1,0,0,0,0,0,0,0,0,3.21
89,219000,181,2,3,1,1983,1,0,0,0,1,1,0,0,0,4.59
90,139000,85,1,2,0,1990,1,1,1,1,1,1,0,0,0,4.59
91,160000,227,2,3,1,2017,1,0,0,0,0,0,0,0,0,3.21
92,215000,129,3,4,0,2023,1,1,1,1,1,1,1,1,0,4.49
93,229000,109,2,2,0,2023,1,1,1,0,0,0,1,0,0,5.0
94,179000,79,2,3,0,2020,1,1,1,0,0,1,0,1,1,5.0
95,125653,59,2,2,0,2023,1,0,0,1,0,0,0,0,0,4.27
96,235000,141,3,4,0,2023,1,1,1,1,1,1,1,1,0,4.49
97,158748,74,2,3,0,2023,1,0,0,0,0,1,0,1,0,4.27
98,142000,85,2,3,0,2009,1,1,1,1,0,0,1,1,1,4.49
99,120270,45,2,3,1,2023,1,1,1,1,0,0,1,1,0,5.0
100,90000,103,2,3,0,2007,1,1,1,1,0,0,0,0,0,2.71
101,106650,79,2,3,0,2023,1,1,1,0,0,1,0,1,1,4.59
102,95540,54,2,2,0,2023,1,1,1,1,0,0,1,1,1,3.21
103,62000,75,1,2,0,1978,1,0,0,0,0,0,0,0,0,2.8
104,127987,98,2,2,0,2023,1,1,1,0,1,1,1,0,0,4.59
105,160513,83,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.59
106,118000,58,2,3,0,2023,1,1,1,0,0,0,1,0,0,4.59
107,182000,87,2,3,0,2023,1,1,1,0,0,0,1,0,0,4.59
108,225000,135,2,4,0,2023,1,1,1,1,1,1,1,1,0,4.49
109,170000,104,3,3,0,2023,1,1,0,0,0,1,0,1,0,4.59
110,133728,75,2,3,0,2023,1,0,0,0,0,0,0,0,0,5.0
111,66216,90,2,3,0,2023,1,1,1,0,0,0,1,0,0,3.21
112,93162,47,2,2,0,2023,1,0,0,0,0,0,0,0,0,4.59
113,192000,92,2,3,0,2023,1,1,1,0,0,0,1,0,0,4.59
114,122893,66,2,3,0,2023,1,0,0,0,0,0,0,0,0,5.0
115,63513,85,2,3,0,2023,1,1,1,0,0,0,1,0,0,2.8
116,138000,66,2,2,0,2023,1,1,1,0,0,0,1,0,0,4.59
117,138290,81,2,3,0,2023,1,0,0,0,0,0,0,0,0,5.0
118,63513,86,2,3,0,2023,1,1,1,0,0,0,1,0,0,2.8
119,130550,74,2,3,0,2023,1,1,1,0,0,0,1,1,0,3.27
120,153949,40,2,3,0,2023,1,1,0,0,0,0,1,1,1,4.11
121,123270,77,2,3,0,2023,1,0,0,1,0,0,0,0,0,5.0
