title,address,price,area,bath,room,property_type,description,year,parking,near_cc,near_school,near_parks,near_avenue,security,elevator,rest_area,pool
"Oportunidad - Departamento en Av México Cdra. 8, 128 m² 3 Dorm.","Jr. Manuel Cisneros 1190, La Victoria, Perú  La Victoria, Lima, Lima",125000.0,128,1,3,Departamento,"Hermoso departamento en venta con insuperables y espaciosos ambientes de 3 dormitorios, sala comedor conectados a la cocina por una terraza que ilumina y da tranquilidad a tu nuevo hogar, el dormitorio principal cuenta con un amplio closet, los dormitorios secundarios tienen espacios amplios.",1988,0,1,1,1,1,0,0,1,0
Departamento dúplex en venta en Chacarilla Surco,"Jirón Batallón Tarma N 100-198, Cuadra 1, Ur. Santa Teresa, Santiago de Surco, Lima, 15039, PER  Santiago de Surco, Lima, Lima",750000.0,420,5,3,Departamento,Impecable dúplex en venta en Chacarilla Surco:,2017,1,1,0,1,1,0,0,1,0
Departamento en venta en Chacarilla San Borja,"Avenida Buena Vista, Ur. Chacarilla Del Estanque, San Borja, Lima, 15037, PER  San Borja, Lima, Lima",310000.0,159,2,3,Departamento,En venta lindo flat en Chacarilla San Borja!,2014,1,1,0,1,0,0,0,1,0
"Departamento en venta de 84m2 vista a la calle de 3 dormitorios - Urb. Valle Hermoso, Surco","Santiago de Surco, Lima, Lima",169000.0,84,2,3,Departamento,Descubre un diseño a la vanguardia en Surco. ✅,0,0,1,1,1,1,0,0,1,0
VENTA DEPARTAMENTO EN URB. LA PURISIMA EN PRIMER PISO,"La Purísima, Chiclayo, Perú  José Leonardo Ortiz, Chiclayo, Lambayeque",77000.0,110,2,2,Departamento,"Ubicado en PRIMER PISO en Urbanización La Purísima – Chiclayo – Frente a Urbanización SANTUARIO, zona Residencial.",2020,0,1,1,0,1,0,0,0,0
Departamento en venta en Barranco,"El Sol Oeste 145, Barranco, Perú  Barranco, Lima, Lima",145000.0,47,1,1,Departamento,"En venta departamento en Barranco, ideal para inversión!",2021,1,0,0,1,1,0,0,1,1
¡Preventa Departamentos en Urb. Los Cipreses! Frente a Parque y cerca a todo!!,"Jirón Larrabure y Correa 2500, Cuadra 25, Ur. Los Cipreses, Lima, 15081, PER  Lima, Lima, Lima",114162.0,66,2,3,Departamento,Isabel Canaval,0,0,1,1,1,1,0,0,1,0
¡Tu Depa en Urb. Los Cipreses de Cercado! Frente a Parque y cerca a todo!!,"Jirón Larrabure y Correa 2500, Cuadra 25, Ur. Los Cipreses, Lima, 15081, PER  Lima, Lima, Lima",91865.0,52,2,2,Departamento,Isabel Canaval,0,0,1,1,1,1,0,0,1,0
Tu Hogar Frente Al Parque ¡Preventa de Depas en Urb. Los Cipreses en Cercado!,"Jirón Larrabure y Correa 2500, Cuadra 25, Ur. Los Cipreses, Lima, 15081, PER  Lima, Lima, Lima",80521.0,46,1,1,Departamento,Isabel Canaval,0,0,1,1,1,1,0,0,1,0
"¡OPORTUNIDAD! VENDO DPTO 3ER PISO, 75 m2, CERCA AL MALL, CERCA A TODO","Distrito de Huanchaco, Trujillo, La Libertad",55500.0,75,2,3,Departamento,"💡¡OPORTUNIDAD UNICA / OCASIÓN!💡 EN VENTA DEPARTAMENTO 3ER PISO URB. SAN ISIDRO (1era Etapa), A 2 MIN del MALL✨",0,0,0,0,1,0,0,0,0,0
se vende departamento en chorrillos 98 m2 limite con barranco,"Av. Malecon Grau, Chorrillos, Perú  Chorrillos, Provincia de Lima, Provincia de Lima",270000.0,98,2,3,Departamento,Se vende departamento en chorrillos a 1 cuadra del malecón,2016,1,1,1,1,1,0,0,0,0
SE VENDE DEPARTAMENTO 67 M2 EN CHORRILLOS,"Chorrillos, Perú  Chorrillos, Provincia de Lima, Provincia de Lima",95000.0,65,2,3,Departamento,Lindo departamento en CHORRILLOS (Límite con BARRANCO)‼️,2012,0,1,1,1,1,0,0,0,0
