titulo,departamento,precio,ubicacion,m2,habitaciones,banios,descripcion_1,descripcion_2,c_interiores,c_exteriores,entorno
"Casa en venta Tacna Distrito, Tacna",20 casas en venta en Tacna Departamento,"165,000",Tacna,230m2,6 Habitaciones,5 Baños,"Casa de 2 pisos en Urb Los Cedros, Calle Las Golondrinas. , Vive cerca del centro, a pasos de Clínica La luz, del colegio Innova Schools y de Plaza Vea. , Zona residencial, segura y con tranquilidad. , Casa con 6 habitaciones y 5 baños. , Área del terreno: 230m2 , Área construida: 259.54 , 1er PISO: , Cochera para 2 vehículos, Patio frontal y posterior, Cocina con repostería alta y baja, barra circular. Sala comedor amplia, 2 Habitaciones, una de ellas con bañ","o privado. Baño de visitas , 2do PISO: , Amplia habitación principal con baño completo. 3 habitaciones adicionales y baño compartido adicional.",Amoblado: Sin amoblar,"Año de construcción: 2,015,Estacionamientos","Cerca a Centro Comercial,Cerca a Centro Comercial"
"Casa en venta Tacna Distrito, Tacna",20 casas en venta en Tacna Departamento,"120,000",Tacna,200m2,,,casa en venta 200 m2 tacna,,,,
"Casa en venta Pocollay, Tacna",20 casas en venta en Tacna Departamento,"30,000","Pocollay, Tacna",,,,"Terreno en venta en urbanización los ángeles con un área de 120m2, ubicado en plena venida los angeles",,,,
"Casa en venta Tacna Distrito, Tacna",20 casas en venta en Tacna Departamento,"50,000",Tacna,160m2,,,Terreno,,,,
"Casa en venta Tacna Distrito, Tacna",20 casas en venta en Tacna Departamento,"110,000",Tacna,120m2,,,casa de 3 pisos cocina sala cochera,,,,
"Casa en venta Tacna Distrito, Tacna",20 casas en venta en Tacna Departamento,"33,816",Tacna,1m2,,1 Baño,area de 200m2 a media cuadra de av molle y a tres cuadras abajo del paradero ruta 1,,,,
"Casa en venta Tacna Distrito, Tacna",20 casas en venta en Tacna Departamento,"125,000",Tacna,243.15m2,6 Habitaciones,1 Baño,"Casa de 243 m2, grande y lista para habitar.",,,,
"Casa en venta Rioja Distrito, Rioja",60 casas en venta en San Martin Departamento,"135,264","Rioja, San Martin",280m2,5 Habitaciones,2 Baños,"ESTA CASA CUENTA CON LO SIGUIENTE: ,  , PRIMER PISO: UNA SAL, UNA BIBLIOTECA, UNA SALA COMEDOR, COCINA GRANDE, UN BAÑO, PATIO, LAVANDERIA Y COCHERA. ,  , SEGUNDO PISO: 4 HABITACIONES Y UNA HABITACIÓN GRANDE MAS CON BAÑO PRPOPIO, TOTAL 5 HABITACIONES; UNA SALA DE DESCANSO, UN BAÑO COMPLETO, UNA DUCHA, ESCALERA PARA EL TERCER PISO., ,  , DOCUMENTOS TOTALMENTE SANEADOS E INSCRITOS EN SUNARP. ,  , PRECIO A NEGOCIAR.",,,Estacionamientos,Cerca de parques
"Casa en venta Arequipa Distrito, Arequipa",2 casas en venta en Puno Departamento,"285,000",Arequipa,291.25m2,4 Habitaciones,2 Baños,"SE VENDE CASA COMO TERRENO PARA PROYECTO DE FRENTERA 11.65m DE FONDO 25.1m AREA DE TERRENO 291.25 AREA CONSTRUIDA 226.20m CUENTA CON LO SIGUIENTE : PRIMER PISO SALA COMEDOR , BAÑO DE VISITAS, SALA DE MUSICA, ESTUDIO, COCINA COCHERA PARA CAMIONETA , DEPOSITO Y UN PATIO CON JARDIN AMPLIO SEGUNDO PISO 4 HABITACIONES BAÑO COMPLETO TERRAZA GRANDE IDEAL PARA PROYECTO INMOBILIARIO. CERCA A PARQUE , MERCADO CENTROS COMERCIALES, HOSPITAL, FARMACIAS Y CLINICAS MOVILIDAD EN AVENIDAS CERCANAS SE ACEPTAN PROPUESTAS ,  , GONZALO DEL CARPIO - ",,Amoblado: Sin amoblar,"Año de construcción: 1,980","Cerca a avenidas principales,Cerca de parques"
"Casa en venta Apurimac 749, Piura 20001, Perú",285 casas en venta en Piura Departamento,"350,000","Apurimac 749, piura 20001, perú",345m2,5 Habitaciones,4 Baños,"EXCELENTE CASA EN VENTA – A 4 CUADRAS DE LA PLAZA DE ARMAS, JR. APURÍMAC , Área: 345 m² ,  , Características: , * 5 dormitorios , * 4 baños , * Sala comedor , * Cocina , * Patio , * Cochera , * 2 tiendas comerciales con depósito y baño ,  , Parámetros: , * Zonificación: Zona de Reglamentación Especial (Z.R.E.) , * Usos: mixto, RAD, oficinas, servicios, comercios , * Área libre mínima: vivienda (30%), comercio (no necesario). , * Altura máxima: 34m (12 pisos), a partir de los 9m"," retirar 6m ,  , Previa cita",,Estacionamientos,
"Casa en venta Tacna Distrito, Tacna",20 casas en venta en Tacna Departamento,"95,000",Tacna,283m2,,,"En venta CASA DE PLAYA ,  , Ubicada en Boca del Rio, en pleno pueblo. Calle Pintadillas en la recta de la playa ""El Toro"". , Amplia frentera y excelente ubicación. , Aprovecha esta venta de oportunidad.",,Amoblado: Sin amoblar,,Cerca al mar
"Casa en venta Avenida Revolución, Pj. Villa El Salvador Sector 3 Grupo 14, Villa El Salvador, Lima, 15834, Per","4,486 casas en venta en Lima Departamento","580,000","Avenida revolución, pj. villa el salvador sector 3 grupo 14, villa el salvador, lima, 15834, per",190m2,5 Habitaciones,3 Baños,"* VENTA CASA EN AVENIDA PRINCIPAL Y MUY COMERCIAL * , -- ÁREA 190 m2 -- , -- PRECIO US$ 580,000 NEGOCIABLE -- ,  , ** UBICACIÓN ** , - Cruce Av. Revolución con Av. Bolívar - Villa El Salvador , - A 3 cuadras de la municipalidad , - A 5 minutos de la estación ""Villa El Salvador"" del Tren , - A 3 cuadras de la Central de Monitoreo y Videovigilancia , - A 4 cuadras de Plaza Villa Sur ,  , ** CARACTERÍSTICAS ** , - Casa en esquina , - Ubicado en el boulevard de discotecas , - C","uenta con locales comerciales , - En avenida principal y bastante comercial , - Tiene TÍTULO DE PROPIEDAD , - Agua, luz y gas natural , - Frente: 9.5 metros (Av. Bolívar) , - Fondo: 20 metros (Av. Revolución) , - Documentos en regla , - Área terreno: 190 m2 , - Área techada: 380 m2 , - Antigüedad de construcción: 24 años , - Libre de hipoteca, gravamen o carga , - Establecimientos comerciales cerca","Internet,Gas Natural,Agua","Año de construcción: 1,999","Cerca a avenidas principales,Cerca de parques"
"Casa en venta San Antonio, Miraflores","4,486 casas en venta en Lima Departamento","700,000","San Antonio, Miraflores, Lima",,4 Habitaciones,2 Baños,"La Casa tiene 2 plantas, usada y construida hace 41 años. El estado actual del inmueble es: Por Remodelar. Su uso puede ser para: Vivienda, Oficina y Terreno. Posee Vista a Calle. La propiedad está constituida por un área de Terreno de 377 m2, 300 m2 de área construida. En cuanto a habitaciones cuenta con 4 espacios. Dispone de 2 baños completos, 1 baños incorporados, 1 medios baños. El inmueble incluye 2 cocheras de tipo: Paralelas techadas.  , VE","NTA: US$ 700,000 , A.T. : 377.00 m2, A.C. : 300.00 m2. ,  , 2 pisos, sin muebles, 41 años de antigüedad, vista a la calle, por remodelar, dos plantas. Hall de ingreso, sala, comedor, comedor de diario, cocina, escritorio, sala de estar, 4 dormitorios, 2.5 baños, 1 baño incorporado, 1 cuarto de servicio, 1 baño de servicio, lavandería. Terraza, jardín, 2 cocheras tipo techada. Disponible desde el 15/08/2021. ,  , Primer piso: , Hall de entrada , Escritorio , Baño de visita , Sala comedor , Patio , Cocina con comedor de diario , Patio de servicio con cuarto de servicio y baño ,  , Mezzanine: , Cuarto principal con sala de estar ,  , Segundo piso: , 3 dormitorios , 1 baño , Sala d estar o tv , Balcón tipo terraza , 03 almacenes , Terraza, jardín pequeño , Cochera para dos carros techada y afuera 4 carros más delante de la casa","Área útil: 377,Amoblado: Sin amoblar,Balcón,Armario empotrado,Cuarto de Servicio,Agua","Año de construcción: 1,980,Estacionamientos,Terraza,Cisterna,Jardín,Aseos: 1","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Huancayo Distrito, Huancayo",24 casas en venta en Junin Departamento,"79,000","Huancayo, Junin",,,,"“Te Ofrecemos la propiedad que estás buscando HOUSE DUPLEX Y TRIPLEX - Sistema inteligente , PRECIOS DESDE $ 79,000 , www.casasinmuebles---- , Contáctenos al 90142----",,,,Cerca de parques
"Casa en venta Jiron Rio Lurin 118, Urb Villa Del Norte, Lima, Perú","4,486 casas en venta en Lima Departamento","170,000","Jiron rio lurin 118, urb villa del norte, lima, perú",267.74m2,5 Habitaciones,2 Baños,"Preguntar por la Srta. Omayra Hilares, por el código 1.0.4.2.7.3.3 ,  ,  , SE VENDE LINDA CASA CON DOS COCHERAS EN ZONA RESIDENCIAL ,  , Ubicada en una zona muy segura, rodeada de parques y jardines. Ubicada a 5 min de la Municipalidad de Los Olivos, del supermercado de Plaza Vea de Covida. Con facil acceso a la Panamericana Norte y la Av. Las Palmeras. ,  , *Área de terreno: 101.87 m2 , *Área total construida: 267.74 m2 , Cuenta con titulo de Propiedad y sin carg","a alguna. ,  , Primer Piso: , * Mini departamento: 2 hab, sala / comedor, cocina/lavandería, patio, baño completo , (ideal para alquilar con lo que generaría ingresos a la familia) ,  , *2 cocheras , Segundo Piso: ,  , *3 hab, sala/comedor, cocina, baño completo, hall , balcón , Tercer Piso: , *lavandería y zona de tendales , (esta zona cuenta con muros y columnas divisorias acorde al plano arquitectónico del tercer piso) ,  , Preguntar por la Srta. Omayra Hilares, por el código 1.0.4.2.7.3.3","Amoblado: Sin amoblar,Armario empotrado","Año de construcción: 1,993,Estacionamientos",
"Casa en venta Chepén, La Libertad, Per",120 casas en venta en La Libertad,"824,950","Chepén, la libertad, per","1,520m2",7 Habitaciones,5 Baños,"Se vende Bella casa en La Acogedora ciudad de Chepén. , Haga suya ésta magnífica vivienda ubicada en La Avenida 28 de Julio, ubicación estratégica, con acceso al centro de la ciudad y a la Panamericana Norte; excelente vista y solaz que tienes que experimentar. , Cuenta con un área de terreno de 1520 m2. , Área Construida 525 m2,  distribuidos en 2 pisos y un mini Departamento. , Está rodeada de jardines que cuentan con arboles frutales, de Lima, limón, ","naranjas, tubos y otros. ,  , Distribución: , 1er Piso. , Sala muy amplia. , Comedor amplio e iluminado con accedo al jardín posterior. , Habitación con baño y vestidor muy grande. , Cocina tipo americana con isla y muebles de madera altos y bajos. , Gimnasio. , Departamento de 2 habitaciones y todos los demás ambientes mas almacén. , Área de Parrillas y BBQ. , Zona de Esparcimiento cubierta. , Estacionamiento para mas de 5 coches. , Escaleras internas de fina madera para acceder al 2do piso. ,  , 2do Piso. , 5 habitaciones con closets de madera, baños con jacuzzi 3 de ellas. , Sala de estar y balcón interno que conecta con el jardín posterior. ,  , Nota: , La casa cuenta con un pozo de agua que abastece de agua a la casa,. , Cuenta con servicio de electricidad privada, pero también posee paneles solares que abastecen de electricidad a la casa durante la noche.","Balcón,Agua","Estacionamientos,Jardín,BBQ,Gimnasio",Cerca a avenidas principales
"Casa en venta Los Berilios 510, Trujillo, Perú",120 casas en venta en La Libertad,"1,600,000","Los berilios 510, trujillo, perú","1,586.35m2",10 Habitaciones,10 Baños,"El inmueble consta de 3 bloques antisísmicos con estacionamientos y patios: ,  +El bloque A tiene 4 niveles; se accede desde la calle a través de un hermoso jardín seguido de un amplio estacionamiento para 6 plazas y 2 bonitas oficinas con baño, en el 2°, 3° y 4° nivel, la  ,    estructura no tiene columnas centrales, permitiendo una distribución a gusto del diseñador, actualmente tiene separaciones de drywall para oficinas y departamentos. ,  +El bloq","ue B tiene 3 niveles y el bloque C tiene 2; en ambos bloques encontrarás una estructura antisísmica, libre de columnas centrales, donde se puede hacer una distribución a gusto del  ,    diseñador. Actualmente tiene separaciones de drywall para oficinas y departamentos. , Su ubicación estratégica te permitirá encontrar:  ,  +A tan solo unos pasos.- Parques, buenos restaurantes con comida nacional e internacional, empresas de transporte con salida al norte, sur y oriente del país, universidades privadas    altamente demandadas (UTP, ULADECH, UCT), el conocido Barrio Médico donde encontrarás diversos consultorios médicos frente al Hospital Regional de Trujillo y el Gobierno Regional LL.  ,  +A tan solo 5 minutos.- El centro cívico de Trujillo, Mall Aventura Plaza, Universidades (UNT, UPN), Estadio Mansiche, Mercado la Hermelinda entre otros principales comercios y entidades    ,  públicas. , Tiene excelentes accesos a vías principales de transporte, ya que está ubicado a espaldas de la Av. Nicolas de Pierola y a cuatro cuadras de la Av. Mansiche.",Amoblado: Sin amoblar,"Año de construcción: 1,999","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca a Centro Comercial"
Residencial Montaña Azul,26 casas en venta en Cusco Departamento,"15,000","Santa ana, la convención, cusco, per",150m2,2 Habitaciones,1 Baño,"Introducción: Bienvenidos a nuestro nuevo y emocionante proyecto de viviendas en Perú, un lugar donde la comodidad y el estilo de vida se unen para brindarle una experiencia residencial excepcional. Diseñado por un desarrollador líder en la industria, este proyecto ofrece una combinación perfecta de arquitectura moderna, comodidades de primer nivel y ubicación estratégica en el hermoso país peruano. ,  , Ubicación: Este proyecto se encuentra estratég","icamente ubicado en una de las zonas más prestigiosas y vibrantes de Perú. Rodeado de impresionantes vistas panorámicas de las montañas y la costa, ofrece un entorno tranquilo y sereno para que usted y su familia disfruten. Además, se encuentra cerca de importantes centros comerciales, colegios de renombre, hospitales, parques y una amplia variedad de opciones gastronómicas y de entretenimiento. ,  , Diseño y calidad de construcción: Nuestro proyecto de viviendas en Perú ha sido diseñado con una estética moderna y elegante. Cada detalle ha sido cuidadosamente considerado para brindarle un hogar cómodo y funcional. Utilizando materiales de la más alta calidad y técnicas de construcción avanzadas, nos aseguramos de que su hogar sea duradero, seguro y energéticamente eficiente. ,  , Comodidades: Para mejorar su estilo de vida, nuestro proyecto de viviendas en Perú cuenta con una amplia gama de comodidades y servicios. Disfrute de una piscina de borde infinito, donde podrá relajarse y disfrutar de vistas panorámicas impresionantes. Manténgase activo y en forma en nuestro gimnasio completamente equipado, o disfrute de momentos de relajación en nuestro spa y sauna. Además, ofrecemos áreas de juegos infantiles, canchas deportivas y zonas verdes para que toda la familia pueda disfrutar al aire libre. ,  , Seguridad: La seguridad es nuestra máxima prioridad. Nuestro proyecto de viviendas en Perú cuenta con sistemas de seguridad de vanguardia, incluyendo vigilancia las 24 horas, acceso controlado y circuito cerrado de televisión. Puede estar tranquilo sabiendo que usted y su familia están protegidos en todo momento. ,  , Opciones de vivienda: Ofrecemos una amplia variedad de opciones de vivienda para adaptarse a sus necesidades y preferencias. Desde apartamentos modernos y funcionales hasta casas unifamiliares espaciosas, nuestro proyecto de viviendas en Perú tiene algo para todos. ,  , Conclusión: En resumen, nuestro proyecto de viviendas en Perú ofrece una combinación perfecta de ubicación privilegiada, diseño innovador y comodidades de primer nivel. Aquí, puede disfrutar de un estilo de vida excepcional mientras se sumerge en la rica cultura y belleza natural de Perú. No pierda la oportunidad de ser parte de esta experiencia residencial única. ¡Contáctenos hoy mismo para obtener más información y asegurar su lugar en este emocionante proyecto de viviendas en Perú!","Sistema de Alarma,Balcón,Línea Blanca,Calefacción,Internet,Jacuzzi,Cuarto de Servicio,Piscina,Agua","Estacionamientos,Bodega,BBQ,Gimnasio,Seguridad privada",
"Casa en venta Urb. El Álamo, Callao, Perú",189 casas en venta en Callao Departamento,"280,000","Urb. el álamo, callao, perú",159m2,10 Habitaciones,6 Baños,"Primer piso ,  , cuenta con cochera ,  , salita de estar ,  , sala, comedor ,  , baño de visita ,  , baño completo ,  , cocina ,  , jardín interior ,  , lavandería ,  , 3 dormitorios el dormitorio principal cuenta con walk in closet ,  , otro espacio (tragaluz) entre los dormitorios ,  ,  , SEGUNDO PISO ,  , Departamento cuenta con 3 dormitorios sala comedor cocina y un baño completo. ,  , Independiente del departamento hay una habitación con baño privado ,  ,  , TERCER PISO ,  , Cuenta con 2 mini departament","os ,  ,  , Departamento A ,  , 2 dormitorios amplios baño completo sala comedor y cocina ,  , DEPARTAMENTO B ,  , cuenta con 2 dormitorios  ,  , kitchenet ,  , baño amplio completo y sala comedor. ,  ,  , AZOTEA ,  , Con parapeto ,  , hay un baño sin terminar con instalación de agua ,  , tendal y el tanque de agua ,  ,  , Av. principal ,  , av. Pacasmayo está a media cuadra ,  , movilidad para surco Miraflores. ate. Jesús maría. ,  , CERCA AL HOSPITAL NEGREIROS ESSALUD ,  , A 5 MINUTOS DE OPEN PLAZA TOTTUS Y BANCOS ,  , A MEDIA CUADRA DEL MERCADO",,"Año de construcción: 1,991",
"Casa en venta Huancayo Distrito, Huancayo",2 casas en venta en Ayacucho,"79,000","Huancayo, Junin",,,,"“Te Ofrecemos la propiedad que estás buscando HOUSE DUPLEX Y TRIPLEX - Sistema inteligente , PRECIOS DESDE $ 79,000 , www.casasinmuebles---- , Contáctenos al 90142----",,,,Cerca de parques
"Casa en venta Ica Distrito, Ica",90 casas en venta en Ica Departamento,"16,009",Ica,151.6m2,,,"ESTE INMUEBLE SE ENCUENTRA EMBARGADO POR SUNAT ICA EN EL 50% DE ACCIONES Y DERECHOS. , EL REMATE ESTÁ PROGRAMADO PARA EL 22 DE SEPTIEMBRE DE 2023.",,,"Año de construcción: 1,998","Cerca a avenidas principales,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Cajamarca, Cajamarca Departamento",22 casas en venta en Cajamarca Departamento,"4,599",Cajamarca,160m2,,,Se vende solar en solar ,,,,Cerca de parques
