area,baths,description,facilities,location,location_address,nearby_locations,price,property_type,property_url,rooms,title,year
180m²,5,"📣 Te imaginas vivir en una hermosa casa 🏠 grande y segura con espacios amplios para el bienestar y tranquilidad de tu familia, además de una excelente distribución, cerca de parques recreativos 🌳, avenidas, EsSalud y a unas cuadras del próximo centro comercial de Trujillo.","['Cochera', 'Cocina equipada', 'Cuarto de servicio', 'Terraza', 'Agua', 'Tanque de agua', 'Sin amoblar']","Trujillo, Trujillo, La Libertad","Trujillo, Trujillo, La Libertad","[' Cerca de avenidas principales, ', ' Cerca de parques, ', ' Cerca de escuelas ']",US$275.000,Casa,https://casas.trovit.com.pe/listing/venta-de-hermosa-casa-en-urb-santa-maria-trujillo.0d992252-abe5-443b-b039-3d558e5a8f33,8,VENTA DE HERMOSA CASA EN URB. SANTA MARÍA TRUJILLO.,1996
426m²,5,"EXCELENTE OPORTUNIDAD DE INVERSIÓN, FRENTE AL MERCADO DE LOS GRANADOS, CASA DE 3 PISOS, EN ESQUINA, CON LOCALES Y DEPARTAMENTOS. A UN PASO DE LA AV. SANTA Y VILLARREAL, ARRIENDOS ASEGURADOS.",['Cocina equipada'],"Trujillo, Trujillo, La Libertad","Trujillo, Trujillo, La Libertad",[' Cerca de parques '],US$299.000,Casa,https://casas.trovit.com.pe/listing/vendo-casa-comercial-los-granados-mercado-gran-chimar-trujillo.111b633d-9381-3574-a385-6203d2949848,8,Vendo Casa Comercial LOS Granados Mercado Gran Chimar - Trujillo,
240m²,3,"🏠 Casas y terrenos en condominio exclusivo de Trujillo y en un solo lugar, cada inmueble inscrito en registros públicos con título de propiedad independizado.","['Cochera', 'Cocina equipada', 'Agua', 'Cuarto de servicio', 'Terraza', 'Tanque de agua']","Huanchaco, Trujillo, La Libertad","Huanchaco, Trujillo, La Libertad",[],US$84.700,Casa,https://casas.trovit.com.pe/listing/venta-de-casas-y-terrenos-en-huanchaco-trujillo-zona-exclusiva.fd421e00-12ea-11ee-9c1d-c9a48717fa9f,3,VENTA DE CASAS Y TERRENOS EN HUANCHACO TRUJILLO - ZONA EXCLUSIVA.,
420m²,5,Impecable dúplex en venta en Chacarilla Surco:,"['Aire acondicionado', 'Cochera', 'Gas natural', 'Patio', 'Terraza', 'Cuarto de servicio', 'Vista panorámica', 'Permite mascotas', 'Permite niños', 'Sin amoblar']","Jirón Batallón Tarma N 100-198, Cuadra 1, Ur. Santa Teresa, Santiago de Surco, Lima, 15039, PER  Santiago de Surco, Lima, Lima","Jirón Batallón Tarma N 100-198, Cuadra 1, Ur. Santa Teresa, Santiago de Surco, Lima, 15039, PER","[' Cerca de avenidas principales, ', ' Cerca de centros comerciales, ', ' Cerca de parques ']",US$750.000,Departamento,https://casas.trovit.com.pe/listing/departamento-duplex-en-venta-en-chacarilla-surco.529dfa80-da2a-11ed-9f4f-655f57131f31,3,Departamento dúplex en venta en Chacarilla Surco,2017
159m²,2,En venta lindo flat en Chacarilla San Borja!,"['Balcón', 'Cochera', 'Cuarto de servicio', 'Sin amoblar']","Avenida Buena Vista, Ur. Chacarilla Del Estanque, San Borja, Lima, 15037, PER  San Borja, Lima, Lima","Avenida Buena Vista, Ur. Chacarilla Del Estanque, San Borja, Lima, 15037, PER","[' Cerca de centros comerciales, ', ' Cerca de parques ']",US$310.000,Departamento,https://casas.trovit.com.pe/listing/departamento-en-venta-en-chacarilla-san-borja.bc640618-4780-4f9f-a620-e1306aa791c7,3,Departamento en venta en Chacarilla San Borja,2014
221m²,2,En venta lindo departamento en Chacarilla San Borja,"['Cochera', 'Bodega', 'Cuarto de servicio', 'Terraza', 'Patio', 'Sin amoblar']","Avenida Alejandro Velasco Astete 943, Lima, Perú  San Borja, Lima, Lima","Avenida Alejandro Velasco Astete 943, Lima, Perú","[' Cerca de centros comerciales, ', ' Cerca de parques ']",US$400.000,Departamento,https://casas.trovit.com.pe/listing/departamento-en-venta-en-chacarilla-san-borja.e0a8cc60-3a7a-49a2-98f6-0dbb29adb6b9,3,Departamento en venta en Chacarilla San Borja,2010
125m²,2,En venta impecable departamento en Chacarilla San Borja:,"['Balcón', 'Armarios empotrados', 'Cochera', 'Cuarto de servicio', 'Sin amoblar']","Pacaritambo 280, San Borja, Perú  San Borja, Lima, Lima","Pacaritambo 280, San Borja, Perú","[' Cerca de avenidas principales, ', ' Cerca de centros comerciales, ', ' Cerca de parques ']",US$298.000,Departamento,https://casas.trovit.com.pe/listing/en-venta-departamento-en-chacarilla.8133f97d-e4a6-4367-b8e3-040db0fbcf6a,2,En venta departamento en Chacarilla,2021
1.000m²,4,En venta linda casa en La Planicie:,"['Aire acondicionado', 'Cochera', 'Chimenea', 'Jacuzzi', 'Vista panorámica', 'Terraza', 'Patio', 'Sin amoblar']","El Refugio 320, La Molina, Perú  La Molina, Lima, Lima","El Refugio 320, La Molina, Perú",[' Cerca de parques '],US$1.100.000,Casa,https://casas.trovit.com.pe/listing/casa-en-venta-en-la-planicie.500a5a18-b09e-4777-b078-a81587b41184,4,Casa en venta en La Planicie,2007
350m²,4,HERMOSA CASA EN CAYMA EN URB. PRIVADA,"['Alarma', 'Armarios empotrados', 'Cochera', 'Bodega', 'Cocina integral', 'Cuarto de servicio']","Cayma, Arequipa, Arequipa","Cayma, Arequipa, Arequipa",[' Cerca de parques '],US$595.000,Casa,https://casas.trovit.com.pe/listing/casa-en-cayma-en-urb-privada.b5e169c4-89c8-3d3a-b8a3-ef0c54297ae9,4,CASA EN CAYMA EN URB. PRIVADA,
350m²,4,HERMOSA CASA EN CAYMA EN URB. PRIVADA,"['Alarma', 'Armarios empotrados', 'Cochera', 'Bodega', 'Cocina integral', 'Cuarto de servicio']","Cayma, Arequipa, Arequipa","Cayma, Arequipa, Arequipa",[' Cerca de parques '],US$595.000,Casa,https://casas.trovit.com.pe/listing/casa-en-cayma-en-urb-privada.b5e169c4-89c8-3d3a-b8a3-ef0c54297ae9,4,CASA EN CAYMA EN URB. PRIVADA,
180m²,5,EXCLUSIVA CASA EN QUINTA PRIVADA EN CAYMA,"['Balcón', 'Armarios empotrados', 'Cochera', 'Bodega', 'Cocina integral', 'Cuarto de servicio']","Cayma, Arequipa, Arequipa","Cayma, Arequipa, Arequipa",[' Cerca de parques '],US$280.000,Casa,https://casas.trovit.com.pe/listing/casa-en-quinta-privada-en-cayma.de284dc2-c474-3e10-90cd-156411c15622,4,CASA EN QUINTA PRIVADA EN CAYMA,
125m²,2,En venta impecable departamento en Chacarilla San Borja:,"['Balcón', 'Armarios empotrados', 'Cochera', 'Cuarto de servicio', 'Sin amoblar']","Pacaritambo 280, San Borja, Perú  San Borja, Lima, Lima","Pacaritambo 280, San Borja, Perú","[' Cerca de avenidas principales, ', ' Cerca de centros comerciales, ', ' Cerca de parques ']",US$298.000,Departamento,https://casas.trovit.com.pe/listing/en-venta-departamento-en-chacarilla.8133f97d-e4a6-4367-b8e3-040db0fbcf6a,2,En venta departamento en Chacarilla,2021
130 m²,2,"Esta Casa cuenta con: Una Cochera, Patio, Sala, Cocina, 03 habitaciones, lavandería, escalera para segundo piso; con proyección.","['Aire acondicionado', 'Cochera', 'Cocina integral']","Yurimaguas, Alto Amazonas, Loreto","Yurimaguas, Alto Amazonas, Loreto",[' Cerca de parques '],S/.200.000,Casa,https://casas.trovit.com.pe/listing/vendo-casa-en-yurimaguas-loreto-peru.a55f28f5-0fbd-38c8-9eb9-02429f03572a,3,"VENDO CASA EN YURIMAGUAS, LORETO, PERÚ",
219m²,2,Vendemos este inmueble que cuenta con:,['Cocina integral'],"Yurimaguas, Alto Amazonas, Loreto","Yurimaguas, Alto Amazonas, Loreto",[' Cerca de parques '],S/.280.000,Casa,https://casas.trovit.com.pe/listing/vendo-casa-con-local-comercial-en-yurimaguas-loreto.4f2aa84e-c58f-3e08-b191-b1f3fdba9f2f,2,VENDO CASA CON LOCAL COMERCIAL EN YURIMAGUAS LORETO,2018
397 m²,5,"ESTA CASA ESTÁ UBICADO A UNA CUADRA DE LA VÍA DE EVITAMIENTO, CUENTA CON: SALA, COMEDOR, ZONA DE LAVANDERIA, 4 HABITACIONES, SALA STAR, 2 PATIOS, PISCINA, POZO DE SUMINISTRO DE AGUA, TANQUE ELEVADO.","['Bodega', 'Cocina integral']","Yurimaguas, Alto Amazonas, Loreto","Yurimaguas, Alto Amazonas, Loreto",[' Cerca de parques '],S/.350.000,Casa,https://casas.trovit.com.pe/listing/se-vende-casa-en-yurimaguas-loreto.e112b8d8-a918-3868-91da-6c5b86a84733,4,SE VENDE CASA EN YURIMAGUAS LORETO,
233m²,1,ESTE ES LOCAL CUENTA CON MAQUINARIA PARA LA FABRICACIÓN DE HIELO.,[],"Yurimaguas, Alto Amazonas, Loreto","Yurimaguas, Alto Amazonas, Loreto",[' Cerca de parques '],S/.150.000,Casa,https://casas.trovit.com.pe/listing/se-vende-casalocal-en-yurimaguas-loreto.fd99d613-c39c-36b0-9b9d-2650ec23ab8b,1 Baños,SE VENDE CASA/LOCAL EN YURIMAGUAS LORETO,
134m²,"133,89 m²","ESTA CASA CUENTA CON SALA, COCINA COMEDOR, 5 HABITACIONES, ZONA DE LAVANDERIA, SERVICIOS HIGIENIECOS PATIO.",['Cocina integral'],"Yurimaguas, Alto Amazonas, Loreto","Yurimaguas, Alto Amazonas, Loreto",[' Cerca de parques '],S/.120.000,Casa,https://casas.trovit.com.pe/listing/se-vende-casa-en-yurimaguas-loreto.18331a90-c1eb-37f3-8214-bb4919355a4c,5,SE VENDE CASA EN YURIMAGUAS LORETO,
250m²,4,"ESTA CASA CONSTA DE: SALA STAR, COCINA COMEDOR, 04 HABITACIONES CON BAÑO, COCHERA, OFICINA, BIBLIOTECA, ALMACEN, AREA DE LAVANDERÍA, AREA DE PISCINA, 1 HABITACIÓN PARA VISITA, TERRAZA Y SS,HH VISITA.","['Balcón', 'Armarios empotrados', 'Cochera', 'Bodega', 'Cocina integral', 'Vista panorámica', 'Cuarto de servicio']","Yurimaguas, Alto Amazonas, Loreto","Yurimaguas, Alto Amazonas, Loreto",[' Cerca de parques '],US$200.000,Casa,https://casas.trovit.com.pe/listing/se-vende-casa-en-yurimaguas-loreto.b418088d-1f81-3c75-af23-3bfc5fc8d7f5,4,SE VENDE CASA EN YURIMAGUAS LORETO,
80m²,2,"ESTA CASA ESTA UBICADA EN VIA PRINCIPAL DE MUCHO TRAFICO VEHICULAR, CUENTA CON SALA, 4 HABITACIONES, UNA DE ELLAS CON BAÑO PROPIO, COCINA COMEDOR SERVICIOS HIJIENICOS Y ZONA DE LAVANDERIA.","['Cocina integral', 'Espacio para oficina']","Yurimaguas, Alto Amazonas, Loreto","Yurimaguas, Alto Amazonas, Loreto",[' Cerca de parques '],S/.140.000,Casa,https://casas.trovit.com.pe/listing/se-vende-casa-en-yurimaguas-loreto.b1c5ab27-0087-3242-bd2c-ac2c62834d3c,4,SE VENDE CASA EN YURIMAGUAS LORETO,
189m²,1,"Casa ubicada en la Vía de Evitamiento, tiene dos frentes(Vía de Evitamiento/Paris Navarro).","['Cochera', 'Cocina integral']","Yurimaguas, Alto Amazonas, Loreto","Yurimaguas, Alto Amazonas, Loreto",[' Cerca de parques '],S/.160.000,Casa,https://casas.trovit.com.pe/listing/se-vende-casa-en-yurimaguas-loreto.36b6ac25-c534-34a3-af3e-e8a54b9ff8b3,3,SE VENDE CASA EN YURIMAGUAS LORETO,
70m²,2,"Propiedad de 2 pisos de material noble, con Frente a la Calle Francisco Bardales, para uso comercial en el primer piso.","['Agua', 'Sin amoblar']","Francisco Bardales 317, Yurimaguas, Alto Amazonas, Perú  Yurimaguas, Alto Amazonas, Loreto","Francisco Bardales 317, Yurimaguas, Alto Amazonas, Perú",[' Cerca de avenidas principales '],US$30.000,Casa,https://casas.trovit.com.pe/listing/vendo-local-en-yurimaguas.2e1a0d30-b016-49a3-9bfb-07d206cd9012,3,Vendo local en Yurimaguas,2004
142.200m²,9,CONTACTO: GILBERTO ROJAS PAZOS,"['Aire acondicionado', 'Balcón', 'Armarios empotrados', 'Cochera', 'Cocina equipada', 'Vista panorámica', 'Cuarto de servicio', 'Terraza', 'Agua', 'Patio', 'Completamente amoblado']","3VMC+MQ Yurimaguas, Perú  Yurimaguas, Alto Amazonas, Loreto","3VMC+MQ Yurimaguas, Perú","[' Cerca de avenidas principales, ', ' Cerca de centros comerciales ']",US$2.990.000,Finca,https://casas.trovit.com.pe/listing/venta-de-casa-de-campo-en-yurimaguas-con-amplios-jardines-y-areas-verdes.5851adcf-c680-4501-95ce-21f84a9f7f14,9,VENTA DE CASA DE CAMPO EN YURIMAGUAS CON AMPLIOS JARDINES Y AREAS VERDES,2004
630m²,12,ANITA DEL ÁGUILA,['Patio'],"C. Arica 413, Yurimaguas 16501, Perú  Yurimaguas, Alto Amazonas, Loreto","C. Arica 413, Yurimaguas 16501, Perú","[' Cerca de centros comerciales, ', ' Cerca de parques, ', ' Cerca de escuelas ']",US$500.000,Casa,https://casas.trovit.com.pe/listing/venta-de-casa-y-local-comercial-en-calle-arica-y-garcilaso-yurimaguas.b1c7c21e-d122-45ba-989d-c21e25b6b36e,15,Venta de Casa y Local Comercial en Calle Arica y Garcilaso - Yurimaguas,2000
